"uniqueID";"hhid";"listing";"baseline_date"
"018_2014-09-19";18;"620";2014-09-19
"027_2014-08-27";27;"1169";2014-08-27
"038_2014-09-07";38;"537";2014-09-07
"047_2014-07-20";47;"1072";2014-07-20
"049_2014-09-12";49;"1237";2014-09-12
"050_2014-09-05";50;"1092";2014-09-05
"054_2014-09-25";54;"385";2014-09-25
"075_2014-09-15";75;"414";2014-09-15
"088_2014-06-01";88;"133";2014-06-01
"117_2014-10-24";117;"407 (9)";2014-10-24
"123_2014-08-06";123;"717";2014-08-06
"145_2014-10-24";145;"886 (7)";2014-10-24
"155_2014-10-31";155;"187";2014-10-31
"184_2014-08-22";184;"516";2014-08-22
"171_2014-11-14";171;"1403";2014-11-14
"186_2014-08-17";186;"42";2014-08-17
"189_2014-10-13";189;"1243 (1)";2014-10-13
"205_2014-10-31";205;"1293 (5)";2014-10-31
"217_2014-07-25";217;"187";2014-07-25
"222_2014-08-22";222;"244";2014-08-22
"229_2014-10-17";229;"1231";2014-10-17
"245_2014-08-19";245;"250";2014-08-19
"237_2014-12-03";237;"1417";2014-12-03
"253_2014-08-15";253;"728";2014-08-15
"254_2014-08-08";254;"512";2014-08-08
"274_2014-08-04";274;"600";2014-08-04
"287_2014-08-09";287;"1153";2014-08-09
"293_2014-08-08";293;"647";2014-08-08
"323_2014-08-25";323;"625";2014-08-25
"330_2014-08-13";330;"1033";2014-08-13
"346_2014-07-16";346;"4";2014-07-16
"351_2014-07-16";351;"227";2014-07-16
"357_2014-07-14";357;"1088";2014-07-14
"357_2014-12-02";357;"924";2014-12-02
"393_2014-07-16";393;"1359";2014-07-16
